FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E07000196,2015,Rank of extent,,250,a. Index of Multiple Deprivation (IMD)
E08000028,2015, Local concentration,,31586,a. Index of Multiple Deprivation (IMD)
E07000127,2015,Rank of local concentration,,74,a. Index of Multiple Deprivation (IMD)
E07000114,2015,Extent,,0.35,a. Index of Multiple Deprivation (IMD)
E08000034,2015,Rank of extent,,82,a. Index of Multiple Deprivation (IMD)
E07000242,2015,Rank of scale,,249,b. Income Deprivation Domain
E07000169,2015,Scale,,3977,c. Employment Deprivation Domain
E07000118,2015,Scale,,12053,b. Income Deprivation Domain
E07000199,2015,Extent,,0.16,a. Index of Multiple Deprivation (IMD)
E09000007,2015,Rank of local concentration,,129,a. Index of Multiple Deprivation (IMD)
E09000007,2015,Rank of scale,,65,c. Employment Deprivation Domain
E09000017,2015,Rank of scale,,63,b. Income Deprivation Domain
E07000113,2015,Rank of scale,,113,c. Employment Deprivation Domain
E09000017,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E06000040,2015,Rank of local concentration,,288,a. Index of Multiple Deprivation (IMD)
E06000040,2015,Scale,,4816,c. Employment Deprivation Domain
E07000128,2015,Rank of scale,,173,c. Employment Deprivation Domain
E08000035,2015,Extent,,0.31,a. Index of Multiple Deprivation (IMD)
E06000040,2015,Rank of extent,,289,a. Index of Multiple Deprivation (IMD)
E08000031,2015,Rank of local concentration,,46,a. Index of Multiple Deprivation (IMD)
E06000005,2015,Extent,,0.24,a. Index of Multiple Deprivation (IMD)
E06000003,2015,Rank of scale,,97,b. Income Deprivation Domain
E07000242,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000075,2015,Scale,,3380,c. Employment Deprivation Domain
E06000059,2015,Rank of scale,,75,c. Employment Deprivation Domain
E07000113,2015,Extent,,0.23,a. Index of Multiple Deprivation (IMD)
E07000199,2015,Rank of scale,,225,c. Employment Deprivation Domain
E07000165,2015,Rank of scale,,200,c. Employment Deprivation Domain
E07000210,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E09000017,2015,Scale,,15698,c. Employment Deprivation Domain
E09000004,2015,Rank of local concentration,,184,a. Index of Multiple Deprivation (IMD)
E07000199,2015,Rank of local concentration,,122,a. Index of Multiple Deprivation (IMD)
E07000196,2015,Scale,,10367,b. Income Deprivation Domain
E09000017,2015,Rank of scale,,79,c. Employment Deprivation Domain
E06000005,2015,Rank of scale,,135,b. Income Deprivation Domain
E09000004,2015,Scale,,29389,b. Income Deprivation Domain
E06000040,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E09000007,2015,Rank of scale,,60,b. Income Deprivation Domain
E07000128,2015,Rank of local concentration,,60,a. Index of Multiple Deprivation (IMD)
E07000128,2015,Rank of extent,,138,a. Index of Multiple Deprivation (IMD)
E07000199,2015,Rank of scale,,216,b. Income Deprivation Domain
E07000128,2015,Scale,,6950,c. Employment Deprivation Domain
E07000242,2015,Rank of extent,,293,a. Index of Multiple Deprivation (IMD)
E06000040,2015, Local concentration,,19540,a. Index of Multiple Deprivation (IMD)
E07000210,2015,Scale,,2658,c. Employment Deprivation Domain
E07000196,2015,Rank of scale,,228,b. Income Deprivation Domain
E07000239,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E07000073,2015,Extent,,0.12,a. Index of Multiple Deprivation (IMD)
E09000016,2015,Rank of scale,,86,b. Income Deprivation Domain
E06000003,2015,Rank of extent,,48,a. Index of Multiple Deprivation (IMD)
E07000127,2015,Scale,,7634,c. Employment Deprivation Domain
E07000123,2015,Rank of extent,,46,a. Index of Multiple Deprivation (IMD)
E08000033,2015,Rank of local concentration,,57,a. Index of Multiple Deprivation (IMD)
E07000114,2015,Scale,,28758,b. Income Deprivation Domain
E06000045,2015,Rank of local concentration,,69,a. Index of Multiple Deprivation (IMD)
E09000007,2015,Rank of extent,,80,a. Index of Multiple Deprivation (IMD)
E07000197,2015,Scale,,11393,b. Income Deprivation Domain
E06000041,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000127,2015,Extent,,0.18,a. Index of Multiple Deprivation (IMD)
E06000041,2015,Scale,,8131,b. Income Deprivation Domain
E09000016,2015,Rank of extent,,161,a. Index of Multiple Deprivation (IMD)
E09000007,2015, Local concentration,,29690,a. Index of Multiple Deprivation (IMD)
E07000114,2015,Rank of extent,,44,a. Index of Multiple Deprivation (IMD)
E08000029,2015, Local concentration,,31359,a. Index of Multiple Deprivation (IMD)
E07000127,2015,Scale,,15364,b. Income Deprivation Domain
E09000016,2015, Local concentration,,28131,a. Index of Multiple Deprivation (IMD)
E07000114,2015,Scale,,13417,c. Employment Deprivation Domain
E06000045,2015, Local concentration,,31310,a. Index of Multiple Deprivation (IMD)
E07000209,2015,Rank of scale,,245,c. Employment Deprivation Domain
E07000197,2015,Rank of extent,,186,a. Index of Multiple Deprivation (IMD)
E06000005,2015,Rank of local concentration,,49,a. Index of Multiple Deprivation (IMD)
E07000168,2015, Local concentration,,31914,a. Index of Multiple Deprivation (IMD)
E07000209,2015,Rank of extent,,260,a. Index of Multiple Deprivation (IMD)
E08000034,2015,Extent,,0.25,a. Index of Multiple Deprivation (IMD)
E07000074,2015,Rank of scale,,292,b. Income Deprivation Domain
E09000015,2015, Local concentration,,24401,a. Index of Multiple Deprivation (IMD)
E07000209,2015,Scale,,9350,b. Income Deprivation Domain
E07000239,2015,Scale,,14036,b. Income Deprivation Domain
E07000243,2015,Rank of scale,,193,b. Income Deprivation Domain
E08000034,2015,Scale,,33308,c. Employment Deprivation Domain
E06000041,2015,Rank of local concentration,,314,a. Index of Multiple Deprivation (IMD)
E07000123,2015, Local concentration,,31504,a. Index of Multiple Deprivation (IMD)
E09000016,2015,Rank of scale,,88,c. Employment Deprivation Domain
E06000059,2015,Scale,,34455,b. Income Deprivation Domain
E07000165,2015,Rank of scale,,215,b. Income Deprivation Domain
E09000007,2015,Scale,,17705,c. Employment Deprivation Domain
E07000168,2015,Extent,,0.23,a. Index of Multiple Deprivation (IMD)
E07000243,2015,Rank of extent,,216,a. Index of Multiple Deprivation (IMD)
E07000127,2015,Rank of scale,,159,c. Employment Deprivation Domain
E08000029,2015,Scale,,12140,c. Employment Deprivation Domain
E07000114,2015,Rank of local concentration,,6,a. Index of Multiple Deprivation (IMD)
E08000033,2015,Scale,,16628,c. Employment Deprivation Domain
E07000243,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E07000074,2015,Rank of scale,,293,c. Employment Deprivation Domain
E07000243,2015,Scale,,12241,b. Income Deprivation Domain
E07000243,2015, Local concentration,,25179,a. Index of Multiple Deprivation (IMD)
E07000127,2015, Local concentration,,31221,a. Index of Multiple Deprivation (IMD)
E09000016,2015,Rank of local concentration,,163,a. Index of Multiple Deprivation (IMD)
E08000029,2015,Rank of extent,,121,a. Index of Multiple Deprivation (IMD)
E09000010,2015,Scale,,66570,b. Income Deprivation Domain
E09000004,2015,Rank of scale,,92,b. Income Deprivation Domain
E07000167,2015,Rank of scale,,310,c. Employment Deprivation Domain
E07000127,2015,Rank of extent,,119,a. Index of Multiple Deprivation (IMD)
E08000031,2015,Scale,,27327,c. Employment Deprivation Domain
E07000196,2015,Rank of scale,,231,c. Employment Deprivation Domain
E09000016,2015,Scale,,14170,c. Employment Deprivation Domain
E06000041,2015,Rank of scale,,257,c. Employment Deprivation Domain
E09000011,2015, Local concentration,,29003,a. Index of Multiple Deprivation (IMD)
E07000072,2015,Extent,,0.03,a. Index of Multiple Deprivation (IMD)
E09000016,2015,Scale,,31568,b. Income Deprivation Domain
E07000197,2015,Extent,,0.06,a. Index of Multiple Deprivation (IMD)
E07000239,2015,Rank of scale,,174,b. Income Deprivation Domain
E07000196,2015, Local concentration,,23676,a. Index of Multiple Deprivation (IMD)
E08000029,2015,Rank of scale,,104,c. Employment Deprivation Domain
E07000243,2015,Rank of local concentration,,215,a. Index of Multiple Deprivation (IMD)
E09000011,2015,Scale,,21060,c. Employment Deprivation Domain
E07000239,2015,Rank of local concentration,,108,a. Index of Multiple Deprivation (IMD)
E08000029,2015,Rank of local concentration,,65,a. Index of Multiple Deprivation (IMD)
E07000169,2015,Rank of local concentration,,216,a. Index of Multiple Deprivation (IMD)
E09000007,2015,Scale,,38989,b. Income Deprivation Domain
E07000123,2015,Extent,,0.34,a. Index of Multiple Deprivation (IMD)
E06000045,2015,Rank of scale,,70,c. Employment Deprivation Domain
E06000056,2015,Scale,,24185,b. Income Deprivation Domain
E07000112,2015, Local concentration,,30535,a. Index of Multiple Deprivation (IMD)
E09000018,2015,Rank of local concentration,,169,a. Index of Multiple Deprivation (IMD)
E07000069,2015,Scale,,4932,c. Employment Deprivation Domain
E07000112,2015,Rank of local concentration,,101,a. Index of Multiple Deprivation (IMD)
E06000039,2015,Scale,,9074,c. Employment Deprivation Domain
E09000018,2015,Scale,,15740,c. Employment Deprivation Domain
E07000129,2015, Local concentration,,19226,a. Index of Multiple Deprivation (IMD)
E06000056,2015,Rank of extent,,210,a. Index of Multiple Deprivation (IMD)
E07000072,2015,Rank of extent,,227,a. Index of Multiple Deprivation (IMD)
E07000035,2015,Scale,,5371,b. Income Deprivation Domain
E07000129,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E06000056,2015, Local concentration,,25499,a. Index of Multiple Deprivation (IMD)
E07000112,2015,Extent,,0.17,a. Index of Multiple Deprivation (IMD)
E07000164,2015,Rank of extent,,265,a. Index of Multiple Deprivation (IMD)
E09000019,2015,Rank of scale,,48,b. Income Deprivation Domain
E06000056,2015,Scale,,11527,c. Employment Deprivation Domain
E07000211,2015,Rank of scale,,222,b. Income Deprivation Domain
E07000119,2015,Rank of scale,,272,b. Income Deprivation Domain
E06000040,2015,Scale,,9926,b. Income Deprivation Domain
E09000001,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E07000112,2015,Rank of scale,,142,c. Employment Deprivation Domain
E07000112,2015,Rank of scale,,136,b. Income Deprivation Domain
E06000056,2015,Rank of scale,,107,b. Income Deprivation Domain
E07000238,2015,Rank of scale,,209,b. Income Deprivation Domain
E06000056,2015,Rank of local concentration,,207,a. Index of Multiple Deprivation (IMD)
E07000164,2015,Scale,,3279,c. Employment Deprivation Domain
E07000211,2015,Rank of scale,,224,c. Employment Deprivation Domain
E06000006,2015,Scale,,13227,c. Employment Deprivation Domain
E07000129,2015,Rank of scale,,279,b. Income Deprivation Domain
E06000039,2015,Scale,,21364,b. Income Deprivation Domain
E06000056,2015,Rank of scale,,109,c. Employment Deprivation Domain
E07000211,2015,Scale,,10703,b. Income Deprivation Domain
E07000071,2015,Rank of extent,,166,a. Index of Multiple Deprivation (IMD)
E07000119,2015,Rank of extent,,193,a. Index of Multiple Deprivation (IMD)
E07000169,2015,Rank of extent,,220,a. Index of Multiple Deprivation (IMD)
E07000195,2015,Scale,,15000,b. Income Deprivation Domain
E07000075,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E09000001,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E09000019,2015,Scale,,21262,c. Employment Deprivation Domain
E07000195,2015, Local concentration,,28516,a. Index of Multiple Deprivation (IMD)
E07000069,2015, Local concentration,,27853,a. Index of Multiple Deprivation (IMD)
E07000112,2015,Scale,,8314,c. Employment Deprivation Domain
E07000211,2015,Rank of local concentration,,264,a. Index of Multiple Deprivation (IMD)
E07000211,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E09000001,2015,Rank of scale,,316,c. Employment Deprivation Domain
E09000019,2015, Local concentration,,30884,a. Index of Multiple Deprivation (IMD)
E09000010,2015, Local concentration,,30528,a. Index of Multiple Deprivation (IMD)
E06000055,2015,Rank of local concentration,,131,a. Index of Multiple Deprivation (IMD)
E07000211,2015, Local concentration,,22044,a. Index of Multiple Deprivation (IMD)
E08000027,2015,Rank of local concentration,,91,a. Index of Multiple Deprivation (IMD)
E07000195,2015,Scale,,8465,c. Employment Deprivation Domain
E08000031,2015,Scale,,59653,b. Income Deprivation Domain
E09000001,2015,Scale,,254,c. Employment Deprivation Domain
E09000010,2015,Scale,,25095,c. Employment Deprivation Domain
E07000164,2015,Scale,,6748,b. Income Deprivation Domain
E09000019,2015,Rank of local concentration,,88,a. Index of Multiple Deprivation (IMD)
E07000167,2015, Local concentration,,21031,a. Index of Multiple Deprivation (IMD)
E07000075,2015,Rank of extent,,246,a. Index of Multiple Deprivation (IMD)
E07000129,2015,Scale,,7492,b. Income Deprivation Domain
E07000119,2015, Local concentration,,26360,a. Index of Multiple Deprivation (IMD)
E07000164,2015, Local concentration,,22828,a. Index of Multiple Deprivation (IMD)
E07000203,2015,Scale,,7778,b. Income Deprivation Domain
E07000035,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000072,2015,Scale,,5973,c. Employment Deprivation Domain
E07000199,2015, Local concentration,,29928,a. Index of Multiple Deprivation (IMD)
E07000167,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E08000033,2015,Rank of scale,,79,b. Income Deprivation Domain
E07000211,2015,Rank of extent,,270,a. Index of Multiple Deprivation (IMD)
E06000006,2015,Rank of scale,,97,c. Employment Deprivation Domain
E06000039,2015,Rank of extent,,153,a. Index of Multiple Deprivation (IMD)
E07000035,2015,Scale,,2727,c. Employment Deprivation Domain
E08000035,2015,Scale,,120622,b. Income Deprivation Domain
E08000027,2015,Rank of extent,,90,a. Index of Multiple Deprivation (IMD)
E06000001,2015,Rank of extent,,17,a. Index of Multiple Deprivation (IMD)
E06000055,2015,Scale,,10466,c. Employment Deprivation Domain
E07000128,2015,Scale,,14008,b. Income Deprivation Domain
E08000028,2015,Extent,,0.52,a. Index of Multiple Deprivation (IMD)
E07000210,2015,Rank of extent,,277,a. Index of Multiple Deprivation (IMD)
E07000210,2015,Rank of scale,,304,b. Income Deprivation Domain
E07000113,2015,Scale,,22515,b. Income Deprivation Domain
E07000069,2015,Rank of scale,,220,b. Income Deprivation Domain
E07000168,2015,Rank of local concentration,,42,a. Index of Multiple Deprivation (IMD)
E07000035,2015,Rank of local concentration,,278,a. Index of Multiple Deprivation (IMD)
E07000164,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E09000018,2015,Rank of extent,,148,a. Index of Multiple Deprivation (IMD)
E09000010,2015,Rank of local concentration,,102,a. Index of Multiple Deprivation (IMD)
E06000040,2015,Rank of scale,,237,b. Income Deprivation Domain
E06000006,2015,Scale,,25234,b. Income Deprivation Domain
E07000035,2015, Local concentration,,20812,a. Index of Multiple Deprivation (IMD)
E07000075,2015,Rank of scale,,286,c. Employment Deprivation Domain
E06000006,2015,Rank of extent,,19,a. Index of Multiple Deprivation (IMD)
E07000113,2015,Rank of scale,,114,b. Income Deprivation Domain
E08000028,2015,Scale,,74956,b. Income Deprivation Domain
E07000113,2015,Rank of extent,,91,a. Index of Multiple Deprivation (IMD)
E07000196,2015,Scale,,5054,c. Employment Deprivation Domain
E07000113,2015,Rank of local concentration,,31,a. Index of Multiple Deprivation (IMD)
E07000128,2015, Local concentration,,31485,a. Index of Multiple Deprivation (IMD)
E06000005,2015, Local concentration,,31736,a. Index of Multiple Deprivation (IMD)
E08000035,2015,Scale,,59553,c. Employment Deprivation Domain
E07000168,2015,Scale,,8679,c. Employment Deprivation Domain
E09000017,2015,Rank of extent,,176,a. Index of Multiple Deprivation (IMD)
E09000007,2015,Extent,,0.25,a. Index of Multiple Deprivation (IMD)
E09000017,2015, Local concentration,,26163,a. Index of Multiple Deprivation (IMD)
E07000128,2015,Extent,,0.14,a. Index of Multiple Deprivation (IMD)
E07000242,2015,Rank of scale,,237,c. Employment Deprivation Domain
E07000199,2015,Scale,,11127,b. Income Deprivation Domain
E07000075,2015,Rank of scale,,286,b. Income Deprivation Domain
E07000203,2015,Rank of local concentration,,287,a. Index of Multiple Deprivation (IMD)
E09000017,2015,Rank of local concentration,,196,a. Index of Multiple Deprivation (IMD)
E07000196,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000203,2015,Rank of scale,,271,b. Income Deprivation Domain
E06000005,2015,Rank of scale,,134,c. Employment Deprivation Domain
E07000203,2015,Rank of extent,,254,a. Index of Multiple Deprivation (IMD)
E08000028,2015,Rank of extent,,10,a. Index of Multiple Deprivation (IMD)
E08000028,2015,Rank of local concentration,,54,a. Index of Multiple Deprivation (IMD)
E07000123,2015,Rank of scale,,112,b. Income Deprivation Domain
E07000210,2015, Local concentration,,19017,a. Index of Multiple Deprivation (IMD)
E06000006,2015,Rank of scale,,103,b. Income Deprivation Domain
E07000128,2015,Rank of scale,,176,b. Income Deprivation Domain
E07000210,2015,Scale,,5187,b. Income Deprivation Domain
E06000059,2015,Rank of extent,,211,a. Index of Multiple Deprivation (IMD)
E07000119,2015,Scale,,4230,c. Employment Deprivation Domain
E07000196,2015,Rank of local concentration,,239,a. Index of Multiple Deprivation (IMD)
E08000028,2015,Rank of scale,,9,b. Income Deprivation Domain
E09000018,2015,Rank of scale,,77,c. Employment Deprivation Domain
E07000164,2015,Rank of scale,,291,b. Income Deprivation Domain
E07000035,2015,Rank of scale,,301,b. Income Deprivation Domain
E09000004,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E06000056,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E09000018,2015, Local concentration,,27817,a. Index of Multiple Deprivation (IMD)
E07000035,2015,Rank of scale,,298,c. Employment Deprivation Domain
E07000069,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E06000059,2015,Rank of scale,,75,b. Income Deprivation Domain
E06000040,2015,Rank of scale,,244,c. Employment Deprivation Domain
E07000113,2015, Local concentration,,32156,a. Index of Multiple Deprivation (IMD)
E07000112,2015,Scale,,17657,b. Income Deprivation Domain
E07000203,2015, Local concentration,,20250,a. Index of Multiple Deprivation (IMD)
E06000059,2015, Local concentration,,25565,a. Index of Multiple Deprivation (IMD)
E09000010,2015,Rank of extent,,53,a. Index of Multiple Deprivation (IMD)
E07000238,2015,Scale,,11540,b. Income Deprivation Domain
E07000113,2015,Scale,,10704,c. Employment Deprivation Domain
E07000210,2015,Rank of scale,,303,c. Employment Deprivation Domain
E06000059,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E07000075,2015, Local concentration,,22833,a. Index of Multiple Deprivation (IMD)
E09000018,2015,Scale,,38307,b. Income Deprivation Domain
E09000018,2015,Rank of scale,,62,b. Income Deprivation Domain
E07000112,2015,Rank of extent,,123,a. Index of Multiple Deprivation (IMD)
E09000018,2015,Extent,,0.11,a. Index of Multiple Deprivation (IMD)
E06000059,2015,Scale,,16284,c. Employment Deprivation Domain
E07000203,2015,Scale,,3568,c. Employment Deprivation Domain
E07000125,2015,Scale,,10638,b. Income Deprivation Domain
E08000030,2015,Scale,,59343,b. Income Deprivation Domain
E06000004,2015,Scale,,17452,c. Employment Deprivation Domain
E09000013,2015,Rank of scale,,89,b. Income Deprivation Domain
E06000058,2015,Scale,,23016,c. Employment Deprivation Domain
E06000044,2015,Extent,,0.24,a. Index of Multiple Deprivation (IMD)
E06000058,2015,Extent,,0.11,a. Index of Multiple Deprivation (IMD)
E09000011,2015,Rank of scale,,40,b. Income Deprivation Domain
E07000125,2015,Scale,,5485,c. Employment Deprivation Domain
E09000005,2015,Rank of local concentration,,103,a. Index of Multiple Deprivation (IMD)
E08000031,2015,Rank of scale,,20,b. Income Deprivation Domain
E07000208,2015,Rank of scale,,304,c. Employment Deprivation Domain
E07000124,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E08000034,2015, Local concentration,,30777,a. Index of Multiple Deprivation (IMD)
E07000073,2015, Local concentration,,27468,a. Index of Multiple Deprivation (IMD)
E07000208,2015,Rank of scale,,305,b. Income Deprivation Domain
E09000013,2015,Extent,,0.21,a. Index of Multiple Deprivation (IMD)
E06000058,2015, Local concentration,,28821,a. Index of Multiple Deprivation (IMD)
E07000199,2015,Scale,,5234,c. Employment Deprivation Domain
E07000207,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000118,2015,Scale,,6672,c. Employment Deprivation Domain
E07000125,2015,Rank of scale,,210,c. Employment Deprivation Domain
E07000166,2015,Rank of scale,,314,c. Employment Deprivation Domain
E08000030,2015,Extent,,0.45,a. Index of Multiple Deprivation (IMD)
E09000005,2015,Rank of extent,,92,a. Index of Multiple Deprivation (IMD)
E09000013,2015,Rank of scale,,93,c. Employment Deprivation Domain
E06000001,2015,Scale,,22047,b. Income Deprivation Domain
E07000207,2015,Rank of scale,,263,b. Income Deprivation Domain
E06000004,2015,Rank of local concentration,,27,a. Index of Multiple Deprivation (IMD)
E09000013,2015,Scale,,29910,b. Income Deprivation Domain
E06000058,2015,Rank of scale,,43,c. Employment Deprivation Domain
E07000073,2015,Scale,,6019,c. Employment Deprivation Domain
E09000005,2015,Scale,,59061,b. Income Deprivation Domain
E07000116,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E06000004,2015,Rank of scale,,67,c. Employment Deprivation Domain
E06000058,2015,Rank of extent,,149,a. Index of Multiple Deprivation (IMD)
E06000001,2015,Rank of scale,,115,b. Income Deprivation Domain
E09000005,2015,Rank of scale,,39,c. Employment Deprivation Domain
E06000057,2015,Scale,,42881,b. Income Deprivation Domain
E09000013,2015,Scale,,13812,c. Employment Deprivation Domain
E07000073,2015,Rank of local concentration,,175,a. Index of Multiple Deprivation (IMD)
E08000031,2015,Rank of extent,,14,a. Index of Multiple Deprivation (IMD)
E07000070,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E07000125,2015,Rank of extent,,107,a. Index of Multiple Deprivation (IMD)
E06000044,2015,Rank of scale,,87,c. Employment Deprivation Domain
E06000044,2015,Rank of extent,,85,a. Index of Multiple Deprivation (IMD)
E08000033,2015,Scale,,33489,b. Income Deprivation Domain
E08000034,2015,Rank of local concentration,,93,a. Index of Multiple Deprivation (IMD)
E07000168,2015,Rank of scale,,137,c. Employment Deprivation Domain
E07000116,2015, Local concentration,,21892,a. Index of Multiple Deprivation (IMD)
E07000116,2015,Rank of scale,,246,b. Income Deprivation Domain
E07000070,2015,Scale,,7616,c. Employment Deprivation Domain
E06000057,2015,Extent,,0.18,a. Index of Multiple Deprivation (IMD)
E09000013,2015, Local concentration,,29783,a. Index of Multiple Deprivation (IMD)
E08000030,2015,Rank of scale,,27,c. Employment Deprivation Domain
E09000005,2015,Extent,,0.23,a. Index of Multiple Deprivation (IMD)
E07000116,2015,Rank of extent,,251,a. Index of Multiple Deprivation (IMD)
E07000125,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E06000057,2015,Rank of scale,,52,b. Income Deprivation Domain
E06000003,2015,Extent,,0.34,a. Index of Multiple Deprivation (IMD)
E09000011,2015,Scale,,48785,b. Income Deprivation Domain
E07000125,2015, Local concentration,,30137,a. Index of Multiple Deprivation (IMD)
E07000073,2015,Rank of extent,,145,a. Index of Multiple Deprivation (IMD)
E09000013,2015,Rank of local concentration,,127,a. Index of Multiple Deprivation (IMD)
E07000207,2015, Local concentration,,19427,a. Index of Multiple Deprivation (IMD)
E06000044,2015,Scale,,14448,c. Employment Deprivation Domain
E06000044,2015,Rank of local concentration,,44,a. Index of Multiple Deprivation (IMD)
E09000005,2015,Scale,,24384,c. Employment Deprivation Domain
E09000011,2015,Extent,,0.23,a. Index of Multiple Deprivation (IMD)
E06000044,2015,Scale,,32067,b. Income Deprivation Domain
E09000004,2015, Local concentration,,26868,a. Index of Multiple Deprivation (IMD)
E06000045,2015,Scale,,17110,c. Employment Deprivation Domain
E07000166,2015,Scale,,3617,b. Income Deprivation Domain
E06000057,2015,Rank of scale,,42,c. Employment Deprivation Domain
E06000057,2015,Rank of extent,,118,a. Index of Multiple Deprivation (IMD)
E08000030,2015,Rank of scale,,21,b. Income Deprivation Domain
E07000198,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E08000030,2015,Rank of local concentration,,58,a. Index of Multiple Deprivation (IMD)
E07000117,2015,Extent,,0.48,a. Index of Multiple Deprivation (IMD)
E09000012,2015,Rank of local concentration,,84,a. Index of Multiple Deprivation (IMD)
E09000012,2015,Scale,,58936,b. Income Deprivation Domain
E07000073,2015,Scale,,13113,b. Income Deprivation Domain
E07000166,2015,Scale,,1854,c. Employment Deprivation Domain
E07000198,2015, Local concentration,,25987,a. Index of Multiple Deprivation (IMD)
E09000005,2015, Local concentration,,30468,a. Index of Multiple Deprivation (IMD)
E06000001,2015,Rank of scale,,112,c. Employment Deprivation Domain
E08000033,2015,Rank of scale,,74,c. Employment Deprivation Domain
E07000117,2015, Local concentration,,32639,a. Index of Multiple Deprivation (IMD)
E07000117,2015,Rank of local concentration,,8,a. Index of Multiple Deprivation (IMD)
E07000245,2015,Rank of extent,,238,a. Index of Multiple Deprivation (IMD)
E07000166,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000207,2015,Rank of extent,,281,a. Index of Multiple Deprivation (IMD)
E08000030,2015, Local concentration,,31517,a. Index of Multiple Deprivation (IMD)
E07000124,2015,Rank of scale,,314,b. Income Deprivation Domain
E08000030,2015,Rank of extent,,20,a. Index of Multiple Deprivation (IMD)
E07000198,2015,Rank of scale,,227,c. Employment Deprivation Domain
E07000198,2015,Rank of local concentration,,198,a. Index of Multiple Deprivation (IMD)
E08000033,2015,Rank of extent,,83,a. Index of Multiple Deprivation (IMD)
E09000012,2015,Scale,,25550,c. Employment Deprivation Domain
E07000198,2015,Rank of scale,,256,b. Income Deprivation Domain
E09000012,2015,Rank of scale,,32,c. Employment Deprivation Domain
E07000245,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000198,2015,Scale,,9018,b. Income Deprivation Domain
E06000045,2015,Extent,,0.27,a. Index of Multiple Deprivation (IMD)
E07000124,2015,Rank of local concentration,,300,a. Index of Multiple Deprivation (IMD)
E07000117,2015,Scale,,9259,c. Employment Deprivation Domain
E08000033,2015, Local concentration,,31555,a. Index of Multiple Deprivation (IMD)
E07000166,2015,Rank of local concentration,,267,a. Index of Multiple Deprivation (IMD)
E08000030,2015,Scale,,25854,c. Employment Deprivation Domain
E09000012,2015,Rank of scale,,24,b. Income Deprivation Domain
E07000073,2015,Rank of scale,,186,b. Income Deprivation Domain
E09000012,2015, Local concentration,,31013,a. Index of Multiple Deprivation (IMD)
E07000124,2015,Rank of scale,,309,c. Employment Deprivation Domain
E07000117,2015,Rank of extent,,16,a. Index of Multiple Deprivation (IMD)
E06000058,2015,Rank of local concentration,,150,a. Index of Multiple Deprivation (IMD)
E09000013,2015,Rank of extent,,99,a. Index of Multiple Deprivation (IMD)
E07000117,2015,Scale,,18171,b. Income Deprivation Domain
E07000071,2015,Rank of scale,,121,c. Employment Deprivation Domain
E07000124,2015,Scale,,3521,b. Income Deprivation Domain
E07000117,2015,Rank of scale,,131,b. Income Deprivation Domain
E06000044,2015,Rank of scale,,84,b. Income Deprivation Domain
E07000070,2015,Rank of scale,,160,c. Employment Deprivation Domain
E06000001,2015, Local concentration,,32428,a. Index of Multiple Deprivation (IMD)
E07000198,2015,Rank of extent,,190,a. Index of Multiple Deprivation (IMD)
E07000207,2015,Rank of scale,,273,c. Employment Deprivation Domain
E07000124,2015, Local concentration,,18563,a. Index of Multiple Deprivation (IMD)
E06000004,2015, Local concentration,,32203,a. Index of Multiple Deprivation (IMD)
E06000001,2015,Rank of local concentration,,14,a. Index of Multiple Deprivation (IMD)
E07000207,2015,Scale,,3845,c. Employment Deprivation Domain
E07000245,2015,Scale,,7679,c. Employment Deprivation Domain
E07000168,2015,Scale,,17407,b. Income Deprivation Domain
E07000071,2015,Scale,,9955,c. Employment Deprivation Domain
E06000004,2015,Rank of extent,,69,a. Index of Multiple Deprivation (IMD)
